ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
Thuiszorg voor patiënt,60689008,,SNOMED CT,2.16.840.1.113883.6.96,Professionele thuiszorg,,,
Ondersteuning voor verzorger,386229000,,SNOMED CT,2.16.840.1.113883.6.96,Mantelzorg,,,
