ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
Pinhole visual acuity,419475002,,SNOMED CT,2.16.840.1.113883.6.96,Met stenopeïsche opening,,,
"Other, specify",OTH,,NullFlavor,2.16.840.1.113883.5.1008,"Anders, specifieer",,,
