ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:17.3.1,ZorgTeam,rootconcept,,SNOMED CT: 401322007 Under care of team,,,,,,,
NL-CM:17.3.12,ZorgTeamNaam,ST,0..1,SNOMED CT: 703503000 Name,,,,,,,
NL-CM:17.3.5,Probleem,"context,reference",0..*,SNOMED CT: 55607006 Probleem,Dit is een verwijzing naar het rootconcept van de bouwsteen Probleem.,,,,,,
NL-CM:17.3.4,ZorgTeamLid,container,2..*,SNOMED CT: 125676002 Persoon,,,,,,,
NL-CM:17.3.8,Contactpersoon,"data,reference",(0..1),SNOMED CT: 70862002 Contactpersoon,Dit is een verwijzing naar het rootconcept van de bouwsteen Contactpersoon.,,,,,,
NL-CM:17.3.7,Patient,"data,reference",(0..1),SNOMED CT: 116154003 Patiënt,Dit is een verwijzing naar het rootconcept van de bouwsteen Patient.,,,,,,
NL-CM:17.3.9,Zorgverlener,"data,reference",(0..1),SNOMED CT: 223366009 Gezondheidszorgpersoneel,Dit is een verwijzing naar het rootconcept van de bouwsteen Zorgverlener.,,,,,,
